TrackKey,TrackAltKey,TrackName,AlbumTitle,MediaType,Genre,Composer,Artist,Milliseconds,Bytes,UnitPrice
1,1,For Those About To Rock (We Salute You),For Those About To Rock We Salute You,MPEG audio file,Rock,"Angus Young, Malcolm Young, Brian Johnson",AC/DC,343719,11170334,0.99
2,2,Balls to the Wall,Balls to the Wall,Protected AAC audio file,Rock,"U. Dirkschneider, W. Hoffmann, H. Frank, P. Baltes, S. Kaufmann, G. Hoffmann",Accept,342562,5510424,0.99
3,3,Fast As a Shark,Restless and Wild,Protected AAC audio file,Rock,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",Accept,230619,3990994,0.99
4,4,Restless and Wild,Restless and Wild,Protected AAC audio file,Rock,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",Accept,252051,4331779,0.99
5,5,Princess of the Dawn,Restless and Wild,Protected AAC audio file,Rock,Deaffy & R.A. Smith-Diesel,Accept,375418,6290521,0.99
6,6,Put The Finger On You,For Those About To Rock We Salute You,MPEG audio file,Rock,"Angus Young, Malcolm Young, Brian Johnson",AC/DC,205662,6713451,0.99
7,7,Let's Get It Up,For Those About To Rock We Salute You,MPEG audio file,Rock,"Angus Young, Malcolm Young, Brian Johnson",AC/DC,233926,7636561,0.99
8,8,Inject The Venom,For Those About To Rock We Salute You,MPEG audio file,Rock,"Angus Young, Malcolm Young, Brian Johnson",AC/DC,210834,6852860,0.99
9,9,Snowballed,For Those About To Rock We Salute You,MPEG audio file,Rock,"Angus Young, Malcolm Young, Brian Johnson",AC/DC,203102,6599424,0.99
10,10,Evil Walks,For Those About To Rock We Salute You,MPEG audio file,Rock,"Angus Young, Malcolm Young, Brian Johnson",AC/DC,263497,8611245,0.99
11,11,C.O.D.,For Those About To Rock We Salute You,MPEG audio file,Rock,"Angus Young, Malcolm Young, Brian Johnson",AC/DC,199836,6566314,0.99
12,12,Breaking The Rules,For Those About To Rock We Salute You,MPEG audio file,Rock,"Angus Young, Malcolm Young, Brian Johnson",AC/DC,263288,8596840,0.99
13,13,Night Of The Long Knives,For Those About To Rock We Salute You,MPEG audio file,Rock,"Angus Young, Malcolm Young, Brian Johnson",AC/DC,205688,6706347,0.99
14,14,Spellbound,For Those About To Rock We Salute You,MPEG audio file,Rock,"Angus Young, Malcolm Young, Brian Johnson",AC/DC,270863,8817038,0.99
15,15,Go Down,Let There Be Rock,MPEG audio file,Rock,AC/DC,AC/DC,331180,10847611,0.99
16,16,Dog Eat Dog,Let There Be Rock,MPEG audio file,Rock,AC/DC,AC/DC,215196,7032162,0.99
17,17,Let There Be Rock,Let There Be Rock,MPEG audio file,Rock,AC/DC,AC/DC,366654,12021261,0.99
18,18,Bad Boy Boogie,Let There Be Rock,MPEG audio file,Rock,AC/DC,AC/DC,267728,8776140,0.99
19,19,Problem Child,Let There Be Rock,MPEG audio file,Rock,AC/DC,AC/DC,325041,10617116,0.99
20,20,Overdose,Let There Be Rock,MPEG audio file,Rock,AC/DC,AC/DC,369319,12066294,0.99
21,21,Hell Ain't A Bad Place To Be,Let There Be Rock,MPEG audio file,Rock,AC/DC,AC/DC,254380,8331286,0.99
22,22,Whole Lotta Rosie,Let There Be Rock,MPEG audio file,Rock,AC/DC,AC/DC,323761,10547154,0.99
23,23,Walk On Water,Big Ones,MPEG audio file,Rock,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",Aerosmith,295680,9719579,0.99
24,24,Love In An Elevator,Big Ones,MPEG audio file,Rock,"Steven Tyler, Joe Perry",Aerosmith,321828,10552051,0.99
25,25,Rag Doll,Big Ones,MPEG audio file,Rock,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",Aerosmith,264698,8675345,0.99
26,26,What It Takes,Big Ones,MPEG audio file,Rock,"Steven Tyler, Joe Perry, Desmond Child",Aerosmith,310622,10144730,0.99
